NSKV;UWI;LAYER;OBJ;KUST;SIMVOL_07;SIMVOL_08;SIMVOL_09;SIMVOL_10;EKSPLDATE;BEGDATE;INJDATE;W_07;W_08;W_09;W_10;D_LIQ_07;D_LIQ_08;D_LIQ_09;D_LIQ_10;INJ_07;INJ_08;INJ_09;INJ_10;P_ZAB_PPD_07;P_ZAB_PPD_08;P_ZAB_PPD_09;P_ZAB_PPD_10;WATINJ1;WATINJ4;ACCLIQ4;ACCOIL4;ACCWAT4;P_ZAB_VNK_07;P_ZAB_VNK_08;P_ZAB_VNK_09;P_ZAB_VNK_10;PP_VNK_07;PP_VNK_08;PP_VNK_09;PP_VNK_10;PP_07;PP_08;PP_09;PP_10;STOP_DATE;STOP_REASON;START_DATE;GTM_DATE;GTM_DESC;FRAC_DATE;WD_07;WD_08;WD_09;WD_10;PBUF_07;PBUF_08;PBUF_09;PBUF_10;PZAB_07;PZAB_08;PZAB_09;PZAB_10;MAX_PZAB;MAX_PZAB_VNK;D_MAX_PZAB;MAX_PP;MAX_PP_VNK;D_MAX_PP;TOP_PERF_LAYER_07;TOP_PERF_LAYER_08;TOP_PERF_LAYER_09;TOP_PERF_LAYER_10;ABS_DEPTH_OWC;LAYER_OIL_DENSITY;WATER_DENSITY;HEFGISOIL;HEFGISOILWAT;HEFGISWAT;HEFGISNYA;D_SHT_07;D_SHT_08;D_SHT_09;D_SHT_10;FREQ_07;FREQ_08;FREQ_09;FREQ_10;D_GAS_07;D_GAS_08;D_GAS_09;D_GAS_10;LAYER_WAT_DYN_VISCOSITY;LAYER_OIL_DYN_VISCOSITY;OIL_VOLUME_FACTOR;POROSITY;LAYER_OIL_COMPRESSIBILITY;WATER_COMPRESSIBILITY;ROCK_COMPRESSIBILITY;BUBBLE_POINT_PRESSURE;INITIAL_LAYER_PRESSURE;GAS_FACTOR;GAS_DENSITY;ATMOSPH_OIL_DENSITY;INJ_WAT_DENSITY;PUMP_DEPTH_07;PUMP_DEPTH_08;PUMP_DEPTH_09;PUMP_DEPTH_10;PUMP_DEPTH_ABS_07;PUMP_DEPTH_ABS_08;PUMP_DEPTH_ABS_09;PUMP_DEPTH_ABS_10
54;084_54G;БС12/1;БС12/1;1;84;84;84;84;03.07.2019 0:00;01.07.2019 0:00;;50.35;12.8;29;27.1;18;22;17;15;;;;;;;;;0;0;83537.314;70628.968;12908.346;46.54355419;38.07254488;42.05932643;46.61582905;46.89982508;39.43971221;43.63235744;43.32630646;36.77;30.22;34.02;33.76;27.07.2023 4:12;Низкое сопротивление;27.07.2023;16.06.2023 0:00;Смена ЭЦН;;26;30.5;31;30;22;24;22;23;44.8138737;36.49826731;40.41800419;44.98237007;45.06368651;46.69714548;14.09.2023 0:00;55.83;65.44235744;02.08.2023 0:00;2548.84;2548.84;2548.84;2548.84;2568;0.794;1.01;5.25;;;;;;;;53;54.5;53.1;53.5;0.386988;0.830637;0.522597;0.473484;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;2783;2783;2783;2783;2455.79;2455.79;2455.79;2455.79
55;084_55G;БС12/1;БС12/1;1;84;84;84;84;27.07.2019 0:00;01.07.2019 0:00;;43.5;46.2;30.05;54.7;12;14;14;14;;;;;;;;;0;0;51925.864;37537.729;14388.135;49.18927634;58.04088878;56.90502645;58.1139461;49.63715412;48.65199222;47.67453468;48.46907514;36.72;35.65;35.18;35.2;19.07.2023 8:28;Остановка скважин по распоряжению;19.07.2023;15.11.2021 0:00;Смена ЭЦН;;30;30.5;31;30;23.5;24;23;23;46.91521078;55.75188747;54.70536307;55.77792483;55.81558167;57.52983986;15.07.2023 0:00;39.09;52.00715412;24.06.2023 0:00;2542.39;2542.39;2542.39;2542.39;2568;0.794;1.01;8.19;;;;;;;;52.7;51.6;52.6;51.1;0.293556;0.326145;0.424014;0.274584;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;3203.41;3203.41;3203.41;3203.41;2422.53;2422.53;2422.53;2422.53
56;084_56;БС12/1;БС12/1;1;102;102;102;102;21.09.2019 0:00;01.09.2019 0:00;21.09.2019 0:00;;;;;;;;;316.15;151.12;370.85;311.34;424.54;386.54;395.54;443.54;257612;293292;0;0;0;;;;;;;;;;;;;20.09.2023 0:00;Остановка по распоряжению (без обнуления МРП);23.09.2023;29.11.2019 0:00;Кислотная ОПЗП;;30;31;31;27;155;117;126;174;;;;;;;;;;;2553.5;2553.5;2553.5;2553.5;2568;0.794;1.01;;;;;;;;;;;;;;;;;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;3250.02;3250.02;3250.02;3250.02;2518.19;2518.19;2518.19;2518.19
57;084_57;БС12/1;БС12/1;1;102;102;102;102;19.09.2019 0:00;01.09.2019 0:00;19.09.2019 0:00;;;;;;;;;172.29;87.53;229.19;221.83;424.54;386.54;395.54;443.54;331880.082;352124.082;0;0;0;;;;;;;;;;;;;30.09.2022 0:00;Исследования на скважине (без обнуления МРП);07.10.2022;05.10.2020 0:00;ВПП;;30;31;31;30;155;117;126;174;;;;;;;;;;;2535.03;2535.03;2535.03;2535.03;2568;0.794;1.01;;;;4.43;;;;;;;;;;;;;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;;;;;;;;
60;084_60G;БС12/1;БС12/1;1;102;102;102;102;23.07.2022 0:00;01.07.2022 0:00;22.01.2023 0:00;;;;;;;;;154.56;97.36;163.39;151.57;396.45;405.45;367.45;415.45;17588;34081;12694.404;308.376;12386.028;;;;;;;;;;;;;20.09.2023 0:00;Кривая падения давления;26.09.2023;23.07.2022 0:00;Ввод новых ГС с МГРП;14.06.2022;30;31;31;24;127;136;98;146;;;;;;;;;;;2539.08;2539.08;2539.08;2539.08;2568;0.794;1.01;;6.16;;;;;;;;;;;;;;;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;;;;;;;;
61;084_61G;БС12/1;БС12/1;1;84;84;84;84;18.08.2022 0:00;01.08.2022 0:00;;15;13;15;12;58;59;53;53;;;;;;;;;0;0;14424.417;11890.317;2534.1;39.76240558;38.51531771;38.36827197;38.04658339;41.165092;39.8958224;39.625092;39.1911876;31.74;30.52;30.2;29.84;03.08.2023 18:14;Отключение напряжения;03.08.2023;22.05.2023 2:05;Вывод скважины на режим;;30;30.5;31;30;24;24;23;23;38.79717038;37.55512827;37.40303677;37.08891683;41.40275456;42.36798976;01.06.2023 0:00;33.23;40.7758224;20.07.2023 0:00;2556.32;2556.32;2556.32;2556.32;2568;0.794;1.01;3.44;;;;;;;;136.4;126.7;128.3;127.7;2.134656;2.222529;1.950597;2.019447;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;3080.29;3080.29;3080.29;3080.29;2453.95;2453.95;2453.95;2453.95
6;084_6G2;БС12/1;БС12/1;1;84;84;84;84;07.02.2018 0:00;01.02.2018 0:00;;30.7;28.65;35;35;19;19;19;20;;;;;;;;;0;0;78978.21;66498.962;12479.248;21.04441705;21.37719278;22.04841279;22.41575056;;;;;;;;;19.07.2023 8:27;Остановка скважин по распоряжению;19.07.2023;03.10.2022 0:00;Смена ЭЦН;;30;30.5;31;30;23.5;24;22;23;18.89363705;19.23748278;19.87441279;20.24175056;20.41063563;22.58463563;05.09.2023 0:00;;;;2543;2543;2543;2543;2568;0.794;1.01;2.27;;;;32;32;32;32;;;;;0.570129;0.586959;0.534735;0.562887;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;3138.37;3138.37;3138.37;3138.37;2440.4;2440.4;2440.4;2440.4
7;084_7G3;БС12/1;БС12/1;1;84;84;84;84;16.02.2020 0:00;01.02.2020 0:00;;69.4;45.15;47.9;36.55;47;37;41;43;;;;;;;;;0;0;63002.578;21951.101;41051.477;63.56213959;57.13688828;55.74729142;56.56137323;57.54675139;52.87961965;56.64805727;53.054142;32.37;29.1;32.71;29.77;08.08.2023 16:48;Прочие;08.08.2023;02.07.2021 0:00;Смена ЭЦН;03.02.2020;30;30.5;31;30;23.5;24;22;23;60.68512019;54.41952313;53.01182114;53.90062772;60.68512019;63.56213959;27.06.2023 0:00;38.95;64.12675139;01.06.2023 0:00;2537.52;2537.52;2537.52;2537.52;2568;0.794;1.01;0.79;;;;;;;;165.3;166.5;161.9;163.8;0.62271;0.87873;0.924885;1.181364;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;2752.09;2752.09;2752.09;2752.09;2301.27;2301.27;2301.27;2301.27
9;084_9G2;БС12/1;БС12/1;1;84;84;84;84;05.04.2018 0:00;01.04.2018 0:00;;32.95;32.95;29.2;29.85;76;77;78;78;;;;;;;;;0;0;155089.199;120011.747;35077.452;43.9401479;44.45806293;44.86775464;45.87714915;44.54907998;44.56907998;45.46076678;46.47954107;32.98;33;34;35;19.07.2023 8:26;Остановка скважин по распоряжению;19.07.2023;15.01.2023 16:48;Вывод скважины на режим;;30;30.5;31;30;23.5;24;22;23;41.86633062;42.38424564;42.81335305;43.81938217;43.81979719;45.87756416;16.09.2023 0:00;35;46.47954107;13.09.2023 0:00;2544.03;2544.03;2544.03;2544.03;2568;0.794;1.01;-0.84;;;;32;32;32;32;53;52.5;53;53;2.206413;2.235483;2.391135;2.369205;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;2911.03;2911.03;2911.03;2911.03;2434.28;2434.28;2434.28;2434.28
10;084_10G2;БС12/1;БС12/1;1;84;84;84;84;09.05.2018 0:00;01.05.2018 0:00;;21.5;22.4;20.7;21.2;17;18;15;18;;;;;;;;;0;0;49355.111;37982.224;11372.887;47.5171103;47.2789934;46.08626631;46.61143476;48.05590168;46.03985565;46.60460926;46.09791702;37.7;35.66;36.27;35.75;19.07.2023 8:26;Остановка скважин по распоряжению;19.07.2023;08.09.2022 0:00;Восстановление циркуляции;;30;30.5;31;30;23.5;24;24;23;46.31360022;46.07269951;44.88523072;45.40885261;46.33347748;47.53698756;15.06.2023 0:00;37.75;48.10590168;28.06.2023 0:00;2553.68;2553.68;2553.68;2553.68;2568;0.794;1.01;5.13;;;;32;32;32;32;51;54;53;53.1;0.57783;0.604809;0.515049;0.614142;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;3020;3020;3020;3020;2444.78;2444.78;2444.78;2444.78
