NSKV;X;Y;UWI;UWI_WELL_BORE;SKV_NGT;KUST;SIMVOL;STATUS_DATE;EKSPLDATE;INJDATE;BEGDATE;LSTDATE;EKSPLINE;BLOCK1;BLOCK2;COEFF_DISTR;PLAST;OBJ;PLASTGLUB;FOND;NAZNACH;SOST;SPOSOB;PEREV;PLAST1;PLAST2;PLAST3;PLAST4;PLAST5;PLASTALL;VDEBLIQ;VPROCOBV;DEBLIQ;MPROCOBV;DEBOIL;DEBGAS;DEBWAT;PRIEM;WRDAY;SUMDEBLIQ;SUMDEBOIL;SUMDEBGAS;SUMDEBWAT;SUMPRIEM;SUMWRDAY;ACCLIQ;ACCOIL;ACCGAS;ACCWAT;WATINJ;SUMACCLIQ;SUMACCOIL;SUMACCGAS;SUMACCWAT;SUMWATINJ;SUMLSTDATE;ABSPLASTGLUB;MIN_TOP_PERF;ABS_MIN_TOP_PERF;INKL_LAST_UPDATE;ELEVATION;PRIEMGAS;SUMPRIEMGAS;GASINJ;SUMGASINJ;DEBCOND;SUMDEBCOND;ACCCOND;SUMACCCOND;DEBLIQCOND;MPROCOBVCOND;DEBOILCOND;SUMDEBLIQCOND;SUMDEBOILCOND;ACCLIQCOND;ACCOILCOND;SUMACCLIQCOND;SUMACCOILCOND;DEBNGAS;SUMDEBNGAS;ACCNGAS;SUMACCNGAS;LINK;LINK_ELAR
35;491479.7512;6977505.264;084_35G;084_35G;35;2;84;01.10.2023;25.07.2022 0:00;;01.07.2022 0:00;01.09.2023 0:00;;Отсутствует;Отсутствует;1;БС12/1;БС12/1;4022.3;НЕФТЯНАЯ;Нефтяные;В работе;эцн;работает;;;;;;БС12/1;156.41;36.1;141.99;40.2;84.91;0;57.08;0;30;141.99;84.91;0;57.08;0;30;52905.128;38165.259;0;14739.869;0;52905.128;38165.259;0;14739.869;0;01.09.2023 0:00;2552.51;4172.52;2556.05;13.07.2022 14:23;128.3;0;0;0;0;0;0;0;0;141.99;40.2;84.91;141.99;84.91;52905.128;38165.259;52905.128;38165.259;6.8;6.8;3386.611;3386.611;http://10.69.167.34:8888/Php_sam/Delo_Skv/Davl.phtml?field_cod=084&uwi_name=084_35G&field_name=ОТДЕЛЬНОЕ;http://10.69.167.34:8888/Php_sam/Delo_Skv/El_arhiv_test.phtml?field_cod=084&uwi_name=084_35G&field_name=ОТДЕЛЬНОЕ
24;491943.1962;6977973.432;084_24G2;084_24G2;24;2;102;01.10.2023;15.02.2018 0:00;21.07.2023 0:00;01.02.2018 0:00;01.09.2023 0:00;;;;1;БС12/1;БС12/1;3529.4;НАГНЕТАТЕЛЬНАЯ;Нефтяные;В работе;Нагнетательный;работает;;;;;;БС12/1;0;100;0;100;0;0;0;186.93;30;0;0;0;0;186.93;30;491054.917;358782.001;0;132272.916;12495;491054.917;358782.001;0;132272.916;12495;01.09.2023 0:00;2557.61;3352.55;2532.89;26.01.2018 11:18;122.4;0;0;0;0;0;0;0;0;0;;0;0;0;491054.917;358782.001;491054.917;358782.001;0;0;17702.401;17702.401;http://10.69.167.34:8888/Php_sam/Delo_Skv/Davl.phtml?field_cod=084&uwi_name=084_24G2&field_name=ОТДЕЛЬНОЕ;http://10.69.167.34:8888/Php_sam/Delo_Skv/El_arhiv_test.phtml?field_cod=084&uwi_name=084_24G2&field_name=ОТДЕЛЬНОЕ
1;491016.3977;6984934.475;084_1G2;084_1G2;1;1;84;01.10.2023;21.09.2017 0:00;;01.09.2017 0:00;01.09.2023 0:00;;;;1;БС12/1;БС12/1;3211.5;НЕФТЯНАЯ;Нефтяные;В работе;эцн;работает;;;;;;БС12/1;124.42;87.1;123.1;88.9;13.61;0;109.5;0;30;123.1;13.61;0;109.5;0;30;317531.84;206323.824;0;111208.016;0;317531.84;206323.824;0;111208.016;0;01.09.2023 0:00;2546.7;3022;2544.28;14.09.2017 10:13;125.7;0;0;0;0;0;0;0;0;123.1;89;13.61;123.1;13.61;317531.84;206323.824;317531.84;206323.824;1.09;1.09;18549.972;18549.972;http://10.69.167.34:8888/Php_sam/Delo_Skv/Davl.phtml?field_cod=084&uwi_name=084_1G2&field_name=ОТДЕЛЬНОЕ;http://10.69.167.34:8888/Php_sam/Delo_Skv/El_arhiv_test.phtml?field_cod=084&uwi_name=084_1G2&field_name=ОТДЕЛЬНОЕ
59;492817.9173;6983732.504;084_59G2;084_59G;59Г;1;115;01.10.2023;20.05.2022 0:00;;01.07.2022 0:00;01.08.2023 0:00;;;;0;БС12/1;БС12/1;3488;НЕФТЯНАЯ;Добывающая(ий);Пьезометрическая;эцн;работает;;;;;;БС12/1;;95.9;;96.5;;;;;;;;;;;;22451.971;1494.934;0;20957.037;0;22451.971;1494.934;0;20957.037;0;01.08.2023 0:00;2556.75;3530.06;2560.1;23.05.2022 14:31;126.5;;;0;0;;;0;0;;;;;;22451.971;1494.934;22451.971;1494.934;;;145.084;145.084;http://10.69.167.34:8888/Php_sam/Delo_Skv/Davl.phtml?field_cod=084&uwi_name=084_59G2&field_name=ОТДЕЛЬНОЕ;http://10.69.167.34:8888/Php_sam/Delo_Skv/El_arhiv_test.phtml?field_cod=084&uwi_name=084_59G2&field_name=ОТДЕЛЬНОЕ
5;491447.5875;6984531.227;084_5;084_5;5;1;102;01.10.2023;08.09.2017 0:00;24.03.2018 0:00;01.09.2017 0:00;01.09.2023 0:00;;Отсутствует;Отсутствует;1;БС12/1;БС12/1;2723.2;НАГНЕТАТЕЛЬНАЯ;Нефтяные;В работе;Нагнетательный;работает;;;;;;БС12/1;0;100;0;100;0;0;0;420.45;25;0;0;0;0;420.45;25;16548.428;13302.917;0;3245.511;604196.745;16548.428;13302.917;0;3245.511;604196.745;01.09.2023 0:00;2568.42;2701;2546.22;16.08.2017 11:36;125.7;0;0;0;0;0;0;0;0;0;;0;0;0;16548.428;13302.917;16548.428;13302.917;0;0;791.271;791.271;http://10.69.167.34:8888/Php_sam/Delo_Skv/Davl.phtml?field_cod=084&uwi_name=084_5&field_name=ОТДЕЛЬНОЕ;http://10.69.167.34:8888/Php_sam/Delo_Skv/El_arhiv_test.phtml?field_cod=084&uwi_name=084_5&field_name=ОТДЕЛЬНОЕ
38;491051.0702;6977665.127;084_38G;084_38G;38;2;84;01.10.2023;16.10.2022 0:00;;01.10.2022 0:00;01.09.2023 0:00;;Отсутствует;Отсутствует;1;БС12/1;БС12/1;4167.1;НЕФТЯНАЯ;Нефтяные;В работе;эцн;работает;;;;;;БС12/1;139.59;25.3;124.29;28.6;88.68;0;35.61;0;30;124.29;88.68;0;35.61;0;30;36800.008;30375.271;0;6424.737;0;36800.008;30375.271;0;6424.737;0;01.09.2023 0:00;2549.87;4328.04;2553.8;18.10.2022 18:26;128.3;0;0;0;0;0;0;0;0;124.29;28.7;88.68;124.29;88.68;36800.008;30375.271;36800.008;30375.271;7.1;7.1;2594.284;2594.284;http://10.69.167.34:8888/Php_sam/Delo_Skv/Davl.phtml?field_cod=084&uwi_name=084_38G&field_name=ОТДЕЛЬНОЕ;http://10.69.167.34:8888/Php_sam/Delo_Skv/El_arhiv_test.phtml?field_cod=084&uwi_name=084_38G&field_name=ОТДЕЛЬНОЕ
6;491788.9461;6985285.924;084_6G2;084_6G2;6;1;84;01.10.2023;07.02.2018 0:00;;01.02.2018 0:00;01.09.2023 0:00;;;;1;БС12/1;БС12/1;3525.4;НЕФТЯНАЯ;Нефтяные;В работе;эцн;работает;;;;;;БС12/1;19.67;43.2;18.08;47.5;9.5;0;8.58;0;30;18.08;9.5;0;8.58;0;30;78978.21;66498.962;0;12479.248;0;78978.21;66498.962;0;12479.248;0;01.09.2023 0:00;2543.58;3505.69;2543;26.01.2018 14:26;125.7;0;0;0;0;0;0;0;0;18.08;47.5;9.5;18.08;9.5;78978.21;66498.962;78978.21;66498.962;0.76;0.76;6042.821;6042.821;http://10.69.167.34:8888/Php_sam/Delo_Skv/Davl.phtml?field_cod=084&uwi_name=084_6G2&field_name=ОТДЕЛЬНОЕ;http://10.69.167.34:8888/Php_sam/Delo_Skv/El_arhiv_test.phtml?field_cod=084&uwi_name=084_6G2&field_name=ОТДЕЛЬНОЕ
4;491120.707;6983820.346;084_4G2;084_4G2;4;1;84;01.10.2023;02.01.2018 0:00;;01.01.2018 0:00;01.09.2023 0:00;;;;1;БС12/1;БС12/1;3289.3;НЕФТЯНАЯ;Нефтяные;В работе;эцн;работает;;;;;;БС12/1;140.79;82.8;138.32;85.1;20.6;0;117.72;0;30;138.32;20.6;0;117.72;0;30;345971.783;233426.723;0;112545.06;0;345971.783;233426.723;0;112545.06;0;01.09.2023 0:00;2547.38;3260;2545.96;21.12.2017 9:10;125.7;0;0;0;0;0;0;0;0;138.32;85.1;20.6;138.32;20.6;345971.783;233426.723;345971.783;233426.723;2.36;2.36;30898.6;30898.6;http://10.69.167.34:8888/Php_sam/Delo_Skv/Davl.phtml?field_cod=084&uwi_name=084_4G2&field_name=ОТДЕЛЬНОЕ;http://10.69.167.34:8888/Php_sam/Delo_Skv/El_arhiv_test.phtml?field_cod=084&uwi_name=084_4G2&field_name=ОТДЕЛЬНОЕ
57;490374.1942;6985537.245;084_57;084_57;57;1;102;01.10.2023;19.09.2019 0:00;19.09.2019 0:00;01.09.2019 0:00;01.09.2023 0:00;;Отсутствует;Отсутствует;1;БС12/1;БС12/1;3135;НАГНЕТАТЕЛЬНАЯ;Нагнетательные;В работе;Нагнетательный;работает;;;;;;БС12/1;0;100;0;100;0;0;0;242.77;30;0;0;0;0;242.77;30;0;0;0;0;352124.082;0;0;0;0;352124.082;01.09.2023 0:00;2556.12;3113;2535.03;19.08.2019 8:13;127.4;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;http://10.69.167.34:8888/Php_sam/Delo_Skv/Davl.phtml?field_cod=084&uwi_name=084_57&field_name=ОТДЕЛЬНОЕ;http://10.69.167.34:8888/Php_sam/Delo_Skv/El_arhiv_test.phtml?field_cod=084&uwi_name=084_57&field_name=ОТДЕЛЬНОЕ
52;492060.6913;6985643.352;084_52G;084_52G;52;1;84;01.10.2023;15.04.2019 0:00;;01.04.2019 0:00;01.09.2023 0:00;;Отсутствует;Отсутствует;1;БС12/1;БС12/1;3439;НЕФТЯНАЯ;Нефтяные;В работе;эцн;работает;;;;;;БС12/1;35.28;41.6;32.34;45.9;17.5;0;14.83;0;30;32.34;17.5;0;14.83;0;30;79113.657;56936.474;0;22177.183;0;79113.657;56936.474;0;22177.183;0;01.09.2023 0:00;2547.17;3442.56;2547.7;08.04.2019 12:06;127.4;0;0;0;0;0;0;0;0;32.34;45.9;17.5;32.34;17.5;79113.657;56936.474;79113.657;56936.474;1.4;1.4;5980.883;5980.883;http://10.69.167.34:8888/Php_sam/Delo_Skv/Davl.phtml?field_cod=084&uwi_name=084_52G&field_name=ОТДЕЛЬНОЕ;http://10.69.167.34:8888/Php_sam/Delo_Skv/El_arhiv_test.phtml?field_cod=084&uwi_name=084_52G&field_name=ОТДЕЛЬНОЕ
39_T3;491601.1301;6976835.234;084_39G;084_39G;39;2;33;01.10.2023;09.11.2022 0:00;;;;;;;;БС12/1;БС12/1;4670;НЕФТЯНАЯ;Нефтяные;В работе;эцн;работает;;;;;;БС12/1;;;;;;;;;;;;;;;;;;;;;;;;;;;2561.97;;;01.11.2022 14:38;128.3;;0;;0;;0;;0;;;;94.77;53.29;;;15497.64;12660.379;;4.27;;1053.513;http://10.69.167.34:8888/Php_sam/Delo_Skv/Davl.phtml?field_cod=084&uwi_name=084_39G&field_name=ОТДЕЛЬНОЕ;http://10.69.167.34:8888/Php_sam/Delo_Skv/El_arhiv_test.phtml?field_cod=084&uwi_name=084_39G&field_name=ОТДЕЛЬНОЕ
