NSKV;X;Y;UWI;UWI_WELL_BORE;SKV_NGT;KUST;SIMVOL;STATUS_DATE;EKSPLDATE;INJDATE;BEGDATE;LSTDATE;EKSPLINE;BLOCK1;BLOCK2;COEFF_DISTR;PLAST;OBJ;PLASTGLUB;FOND;NAZNACH;SOST;SPOSOB;PEREV;PLAST1;PLAST2;PLAST3;PLAST4;PLAST5;PLASTALL;VDEBLIQ;VPROCOBV;DEBLIQ;MPROCOBV;DEBOIL;DEBGAS;DEBWAT;PRIEM;WRDAY;SUMDEBLIQ;SUMDEBOIL;SUMDEBGAS;SUMDEBWAT;SUMPRIEM;SUMWRDAY;ACCLIQ;ACCOIL;ACCGAS;ACCWAT;WATINJ;SUMACCLIQ;SUMACCOIL;SUMACCGAS;SUMACCWAT;SUMWATINJ;SUMLSTDATE;ABSPLASTGLUB;MIN_TOP_PERF;ABS_MIN_TOP_PERF;INKL_LAST_UPDATE;ELEVATION;PRIEMGAS;SUMPRIEMGAS;GASINJ;SUMGASINJ;DEBCOND;SUMDEBCOND;ACCCOND;SUMACCCOND;DEBLIQCOND;MPROCOBVCOND;DEBOILCOND;SUMDEBLIQCOND;SUMDEBOILCOND;ACCLIQCOND;ACCOILCOND;SUMACCLIQCOND;SUMACCOILCOND;DEBNGAS;SUMDEBNGAS;ACCNGAS;SUMACCNGAS;LINK;LINK_ELAR
53_T3;493497.2843;6984709.02;084_53G;084_53G;53;1;33;01.10.2023;29.05.2019 0:00;;;;;;;;ÁÑ12/1;ÁÑ12/1;4549.0;ÍÅÔÒßÍÀß;Íåôòÿíûå;Â ðàáîòå;ýöí;ðàáîòàåò;;;;;;ÁÑ12/1;;;;;;;;;;;;;;;;;;;;;;;;;;;2558.85;;;30.05.2019 9:11;127.4;;0.0;;0.0;;0.0;;0.0;;;;10.73;7.41;;;26904.864;23188.837;;0.59;;2414.754;http://10.69.167.34:8888/Php_sam/Delo_Skv/Davl.phtml?field_cod=084&uwi_name=084_53G&field_name=ÎÒÄÅËÜÍÎÅ;http://10.69.167.34:8888/Php_sam/Delo_Skv/El_arhiv_test.phtml?field_cod=084&uwi_name=084_53G&field_name=ÎÒÄÅËÜÍÎÅ
22;491949.3092;6979049.692;084_22G2;084_22G2;22;2;84;01.10.2023;02.01.2018 0:00;;01.01.2018 0:00;01.09.2023 0:00;;;;1.0;ÁÑ12/1;ÁÑ12/1;3088.6;ÍÅÔÒßÍÀß;Íåôòÿíûå;Â ðàáîòå;ýöí;ðàáîòàåò;;;;;;ÁÑ12/1;341.22;91.8;340.16;93.0;23.75;0.0;316.41;0.0;30.0;340.16;23.75;0.0;316.41;0.0;30.0;579617.173;246641.388;0.0;332975.785;0.0;579617.173;246641.388;0.0;332975.785;0.0;01.09.2023 0:00;2550.89;3062.14;2548.2;25.12.2017 17:50;122.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;340.16;93.0;23.75;340.16;23.75;579617.173;246641.388;579617.173;246641.388;1.9;1.9;23586.143;23586.143;http://10.69.167.34:8888/Php_sam/Delo_Skv/Davl.phtml?field_cod=084&uwi_name=084_22G2&field_name=ÎÒÄÅËÜÍÎÅ;http://10.69.167.34:8888/Php_sam/Delo_Skv/El_arhiv_test.phtml?field_cod=084&uwi_name=084_22G2&field_name=ÎÒÄÅËÜÍÎÅ
39;491705.832;6977242.695;084_39G;084_39G;39;2;84;01.10.2023;09.11.2022 0:00;;01.11.2022 0:00;01.09.2023 0:00;;Îòñóòñòâóåò;Îòñóòñòâóåò;1.0;ÁÑ12/1;ÁÑ12/1;4249.0;ÍÅÔÒßÍÀß;Íåôòÿíûå;Â ðàáîòå;ýöí;ðàáîòàåò;;;;;;ÁÑ12/1;103.76;39.6;94.77;43.8;53.29;0.0;41.48;0.0;30.0;94.77;53.29;0.0;41.48;0.0;30.0;15497.64;12660.379;0.0;2837.261;0.0;15497.64;12660.379;0.0;2837.261;0.0;01.09.2023 0:00;2558.65;4261.7;2559.14;01.11.2022 14:38;128.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;94.77;43.8;53.29;94.77;53.29;15497.64;12660.379;15497.64;12660.379;4.27;4.27;1053.513;1053.513;http://10.69.167.34:8888/Php_sam/Delo_Skv/Davl.phtml?field_cod=084&uwi_name=084_39G&field_name=ÎÒÄÅËÜÍÎÅ;http://10.69.167.34:8888/Php_sam/Delo_Skv/El_arhiv_test.phtml?field_cod=084&uwi_name=084_39G&field_name=ÎÒÄÅËÜÍÎÅ
27;491368.0205;6978020.946;084_27;084_27;27;2;102;01.10.2023;21.03.2018 0:00;17.07.2019 0:00;01.03.2018 0:00;01.09.2023 0:00;;Îòñóòñòâóåò;Îòñóòñòâóåò;1.0;ÁÑ12/1;ÁÑ12/1;3608.2;ÍÀÃÍÅÒÀÒÅËÜÍÀß;Íåôòÿíûå;Â ðàáîòå;Íàãíåòàòåëüíûé;ðàáîòàåò;;;;;;ÁÑ12/1;0.0;100.0;0.0;100.0;0.0;0.0;0.0;590.7;30.0;0.0;0.0;0.0;0.0;590.7;30.0;30410.422;25924.597;0.0;4485.825;725610.063;30410.422;25924.597;0.0;4485.825;725610.063;01.09.2023 0:00;2571.37;3579.0;2543.03;14.03.2018 14:31;122.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;30410.422;25924.597;30410.422;25924.597;0.0;0.0;2015.396;2015.396;http://10.69.167.34:8888/Php_sam/Delo_Skv/Davl.phtml?field_cod=084&uwi_name=084_27&field_name=ÎÒÄÅËÜÍÎÅ;http://10.69.167.34:8888/Php_sam/Delo_Skv/El_arhiv_test.phtml?field_cod=084&uwi_name=084_27&field_name=ÎÒÄÅËÜÍÎÅ
28;492902.4425;6979388.221;084_28G2;084_28G2;28;2;84;01.10.2023;30.05.2018 0:00;;01.05.2018 0:00;01.09.2023 0:00;;;;1.0;ÁÑ12/1;ÁÑ12/1;3132.9;ÍÅÔÒßÍÀß;Íåôòÿíûå;Â ðàáîòå;ýöí;ðàáîòàåò;;;;;;ÁÑ12/1;224.61;95.9;225.39;96.5;7.81;0.0;217.57;0.0;30.0;225.39;7.81;0.0;217.57;0.0;30.0;373576.232;82474.026;0.0;291102.206;0.0;373576.232;82474.026;0.0;291102.206;0.0;01.09.2023 0:00;2565.98;3181.36;2567.92;28.05.2018 15:16;122.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;225.39;96.5;7.81;225.39;7.81;373576.232;82474.026;373576.232;82474.026;0.63;0.63;7655.422;7655.422;http://10.69.167.34:8888/Php_sam/Delo_Skv/Davl.phtml?field_cod=084&uwi_name=084_28G2&field_name=ÎÒÄÅËÜÍÎÅ;http://10.69.167.34:8888/Php_sam/Delo_Skv/El_arhiv_test.phtml?field_cod=084&uwi_name=084_28G2&field_name=ÎÒÄÅËÜÍÎÅ
31;492508.393;6978373.512;084_31;084_31;31;2;102;01.10.2023;06.09.2017 0:00;12.05.2018 0:00;01.09.2017 0:00;01.09.2023 0:00;;Îòñóòñòâóåò;Îòñóòñòâóåò;1.0;ÁÑ12/1;ÁÑ12/1;3193.4;ÍÀÃÍÅÒÀÒÅËÜÍÀß;Íåôòÿíûå;Â ðàáîòå;Íàãíåòàòåëüíûé;ðàáîòàåò;;;;;;ÁÑ12/1;0.0;100.0;0.0;100.0;0.0;0.0;0.0;387.23;30.0;0.0;0.0;0.0;0.0;387.23;30.0;18836.171;17271.766;0.0;1564.405;696402.079;18836.171;17271.766;0.0;1564.405;696402.079;01.09.2023 0:00;2583.02;3158.0;2547.62;27.08.2017 8:08;122.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;18836.171;17271.766;18836.171;17271.766;0.0;0.0;1055.041;1055.041;http://10.69.167.34:8888/Php_sam/Delo_Skv/Davl.phtml?field_cod=084&uwi_name=084_31&field_name=ÎÒÄÅËÜÍÎÅ;http://10.69.167.34:8888/Php_sam/Delo_Skv/El_arhiv_test.phtml?field_cod=084&uwi_name=084_31&field_name=ÎÒÄÅËÜÍÎÅ
36;491963.203;6977183.651;084_36G;084_36G;36;2;84;01.10.2023;23.08.2022 0:00;;01.08.2022 0:00;01.09.2023 0:00;;Îòñóòñòâóåò;Îòñóòñòâóåò;1.0;ÁÑ12/1;ÁÑ12/1;4194.0;ÍÅÔÒßÍÀß;Íåôòÿíûå;Â ðàáîòå;ýöí;ðàáîòàåò;;;;;;ÁÑ12/1;130.3;60.9;123.44;64.9;43.36;0.0;80.09;0.0;30.0;123.44;43.36;0.0;80.09;0.0;30.0;40067.583;22036.838;0.0;18030.745;0.0;40067.583;22036.838;0.0;18030.745;0.0;01.09.2023 0:00;2558.03;4194.94;2558.05;18.08.2022 14:33;128.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;123.44;64.9;43.36;123.44;43.36;40067.583;22036.838;40067.583;22036.838;3.47;3.47;2035.412;2035.412;http://10.69.167.34:8888/Php_sam/Delo_Skv/Davl.phtml?field_cod=084&uwi_name=084_36G&field_name=ÎÒÄÅËÜÍÎÅ;http://10.69.167.34:8888/Php_sam/Delo_Skv/El_arhiv_test.phtml?field_cod=084&uwi_name=084_36G&field_name=ÎÒÄÅËÜÍÎÅ
54;491573.1953;6983482.604;084_54G;084_54G;54;1;84;01.10.2023;03.07.2019 0:00;;01.07.2019 0:00;01.09.2023 0:00;;Îòñóòñòâóåò;Îòñóòñòâóåò;1.0;ÁÑ12/1;ÁÑ12/1;3073.4;ÍÅÔÒßÍÀß;Íåôòÿíûå;Â ðàáîòå;ýöí;ðàáîòàåò;;;;;;ÁÑ12/1;14.94;34.9;13.53;38.9;8.27;0.0;5.26;0.0;30.0;13.53;8.27;0.0;5.26;0.0;30.0;83537.314;70628.968;0.0;12908.346;0.0;83537.314;70628.968;0.0;12908.346;0.0;01.09.2023 0:00;2548.78;3074.0;2548.84;28.06.2019 14:02;127.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.53;38.9;8.27;13.53;8.27;83537.314;70628.968;83537.314;70628.968;0.66;0.66;7477.098;7477.098;http://10.69.167.34:8888/Php_sam/Delo_Skv/Davl.phtml?field_cod=084&uwi_name=084_54G&field_name=ÎÒÄÅËÜÍÎÅ;http://10.69.167.34:8888/Php_sam/Delo_Skv/El_arhiv_test.phtml?field_cod=084&uwi_name=084_54G&field_name=ÎÒÄÅËÜÍÎÅ
55;491105.6666;6986296.738;084_55G;084_55G;55;1;84;01.10.2023;27.07.2019 0:00;;01.07.2019 0:00;01.09.2023 0:00;;Îòñóòñòâóåò;Îòñóòñòâóåò;1.0;ÁÑ12/1;ÁÑ12/1;3525.5;ÍÅÔÒßÍÀß;Íåôòÿíûå;Â ðàáîòå;ýöí;ðàáîòàåò;;;;;;ÁÑ12/1;15.96;60.4;15.11;64.5;5.37;0.0;9.74;0.0;30.0;15.11;5.37;0.0;9.74;0.0;30.0;51925.864;37537.729;0.0;14388.135;0.0;51925.864;37537.729;0.0;14388.135;0.0;01.09.2023 0:00;2543.52;3513.0;2542.39;19.07.2019 13:13;127.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.11;64.5;5.37;15.11;5.37;51925.864;37537.729;51925.864;37537.729;0.43;0.43;4092.519;4092.519;http://10.69.167.34:8888/Php_sam/Delo_Skv/Davl.phtml?field_cod=084&uwi_name=084_55G&field_name=ÎÒÄÅËÜÍÎÅ;http://10.69.167.34:8888/Php_sam/Delo_Skv/El_arhiv_test.phtml?field_cod=084&uwi_name=084_55G&field_name=ÎÒÄÅËÜÍÎÅ
30;492055.1344;6979747.782;084_30G2;084_30G2;30;2;84;01.10.2023;02.07.2018 0:00;;01.07.2018 0:00;01.09.2023 0:00;;;;1.0;ÁÑ12/1;ÁÑ12/1;3296.9;ÍÅÔÒßÍÀß;Íåôòÿíûå;Â ðàáîòå;ýöí;ðàáîòàåò;;;;;;ÁÑ12/1;329.87;96.4;331.27;97.0;10.08;0.0;321.19;0.0;30.0;331.27;10.08;0.0;321.19;0.0;30.0;410489.181;125056.181;0.0;285433.0;0.0;410489.181;125056.181;0.0;285433.0;0.0;01.09.2023 0:00;2567.74;3222.3;2566.53;25.06.2018 11:20;122.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;331.27;97.0;10.08;331.27;10.08;410489.181;125056.181;410489.181;125056.181;0.36;0.36;6340.687;6340.687;http://10.69.167.34:8888/Php_sam/Delo_Skv/Davl.phtml?field_cod=084&uwi_name=084_30G2&field_name=ÎÒÄÅËÜÍÎÅ;http://10.69.167.34:8888/Php_sam/Delo_Skv/El_arhiv_test.phtml?field_cod=084&uwi_name=084_30G2&field_name=ÎÒÄÅËÜÍÎÅ
